caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
19630131,0.050367,0.048957,0.049128
19630228,-0.024189,-0.029164,-0.028852
19630329,0.036581,0.035156,0.035464
19630430,0.04907,0.048177,0.04852
19630531,0.019674,0.013844,0.014327
19630628,-0.018605,-0.019806,-0.020198
19630731,-0.001821,-0.003131,-0.00346
19630830,0.053466,0.048496,0.048749
19630930,-0.010402,-0.011579,-0.011034
19631031,0.034825,0.03329,0.032218
19631129,-0.004487,-0.011085,-0.010539
19631231,0.026065,0.024651,0.024444
19640131,0.027391,0.026373,0.026926
19640228,0.017015,0.012171,0.009865
19640331,0.017232,0.015814,0.015167
19640430,0.006192,0.005297,0.006077
19640528,0.016815,0.01146,0.011452
19640630,0.018084,0.016779,0.016424
19640731,0.01891,0.017953,0.01824
19640831,-0.011621,-0.016285,-0.01623
19640930,0.030399,0.029022,0.028718
19641030,0.008745,0.007566,0.008078
19641130,0.001598,-0.004588,-0.005185
19641231,0.005228,0.003803,0.003909
19650129,0.034791,0.033837,0.033156
19650226,0.003746,-0.000853,-0.001485
19650331,-0.012213,-0.013685,-0.014526
19650430,0.035612,0.034769,0.034239
19650528,-0.003122,-0.008354,-0.007743
19650630,-0.04688,-0.048367,-0.048632
19650730,0.014486,0.013678,0.013433
19650831,0.02756,0.022473,0.022522
19650930,0.033366,0.032034,0.032006
19651029,0.028812,0.027737,0.027345
19651130,-0.003821,-0.010306,-0.008764
19651231,0.010349,0.009059,0.008951
19660131,0.005705,0.004874,0.004869
19660228,-0.01275,-0.017548,-0.017873
19660331,-0.023041,-0.024608,-0.021815
19660429,0.022158,0.02125,0.020509
19660531,-0.04914,-0.054645,-0.05414
19660630,-0.01438,-0.015904,-0.016138
19660729,-0.012129,-0.013039,-0.013453
19660831,-0.07165,-0.077487,-0.077751
19660930,-0.006244,-0.007692,-0.007004
19661031,0.048333,0.047244,0.047544
19661130,0.011223,0.003741,0.003117
19661230,0.000326,-0.001089,-0.001492
19670131,0.079215,0.077723,0.078178
19670228,0.007514,0.00242,0.001963
19670331,0.041137,0.039544,0.03941
19670428,0.043371,0.042544,0.042239
19670531,-0.04681,-0.052314,-0.052441
19670630,0.019319,0.018015,0.017512
19670731,0.046454,0.045623,0.045344
19670831,-0.006824,-0.012197,-0.011715
19670929,0.033815,0.032597,0.032785
19671031,-0.027448,-0.028701,-0.029056
19671130,0.006435,0.000533,0.001065
19671229,0.027079,0.025857,0.026277
19680131,-0.041875,-0.043523,-0.043848
19680229,-0.0269,-0.031973,-0.031223
19680329,0.009696,0.008585,0.0094
19680430,0.084092,0.082642,0.081929
19680531,0.016374,0.011104,0.011169
19680628,0.009916,0.008695,0.00912
19680730,-0.017444,-0.018664,-0.018478
19680830,0.016415,0.011259,0.011459
19680930,0.039351,0.03821,0.038539
19681031,0.008587,0.006751,0.007208
19681129,0.05358,0.048659,0.047964
19681231,-0.040826,-0.042141,-0.041617
19690131,-0.007547,-0.008612,-0.008184
19690228,-0.042321,-0.047384,-0.047374
19690328,0.034847,0.033599,0.034444
19690430,0.022771,0.021449,0.021476
19690529,0.003854,-0.001862,-0.002218
19690630,-0.054357,-0.055686,-0.055577
19690731,-0.058632,-0.059919,-0.060178
19690829,0.045728,0.04018,0.040074
19690930,-0.023941,-0.025285,-0.025024
19691031,0.0469,0.044661,0.044244
19691128,-0.029152,-0.034433,-0.035274
19691231,-0.016922,-0.018365,-0.018655
19700130,-0.075398,-0.076809,-0.076472
19700227,0.059521,0.053615,0.052693
19700331,0.002806,0.001232,0.001453
19700430,-0.088831,-0.090035,-0.090483
19700529,-0.054689,-0.061112,-0.060967
19700630,-0.049032,-0.050902,-0.050033
19700731,0.075523,0.073219,0.073295
19700831,0.049778,0.043782,0.044459
19700930,0.034702,0.033021,0.032998
19701030,-0.009032,-0.011639,-0.0114
19701130,0.054387,0.048836,0.047447
19701231,0.058684,0.057358,0.056766
19710129,0.042828,0.0415,0.040477
19710226,0.013317,0.008152,0.009074
19710331,0.039068,0.037624,0.036796
19710430,0.036965,0.035789,0.036288
19710528,-0.03715,-0.042138,-0.041558
19710630,0.002439,0.001061,0.000703
19710730,-0.040827,-0.041901,-0.041324
19710831,0.042036,0.036549,0.036095
19710930,-0.005038,-0.006387,-0.006968
19711029,-0.040129,-0.042015,-0.041794
19711130,0.002898,-0.002029,-0.002547
19711231,0.08788,0.086486,0.086179
19720131,0.019088,0.017814,0.018121
19720229,0.030221,0.025416,0.025303
19720330,0.007315,0.006132,0.005912
19720428,0.005476,0.004658,0.004384
19720531,0.022019,0.016763,0.017275
19720630,-0.020156,-0.021378,-0.021821
19720731,0.003245,0.002126,0.002333
19720831,0.039425,0.034649,0.034454
19720929,-0.003277,-0.004516,-0.004861
19721031,0.010878,0.009503,0.009317
19721130,0.050297,0.045173,0.045617
19721229,0.013663,0.012622,0.011828
19730131,-0.016752,-0.018044,-0.017111
19730228,-0.033818,-0.038229,-0.03749
19730330,-0.001093,-0.002089,-0.001433
19730430,-0.040064,-0.041236,-0.0408
19730531,-0.01395,-0.019002,-0.018884
19730629,-0.005178,-0.006522,-0.006575
19730731,0.039128,0.037679,0.037982
19730831,-0.031544,-0.036505,-0.036685
19730928,0.042219,0.041038,0.040096
19731031,0.000312,-0.00156,-0.001291
19731130,-0.10722,-0.113046,-0.113861
19731231,0.017971,0.016534,0.016569
19740131,-0.00812,-0.009749,-0.010046
19740228,0.001992,-0.003695,-0.003624
19740329,-0.021818,-0.023154,-0.02328
19740430,-0.037649,-0.039359,-0.039051
19740531,-0.026896,-0.033127,-0.033551
19740628,-0.012816,-0.014583,-0.014665
19740731,-0.076698,-0.0785,-0.077791
19740830,-0.082177,-0.089737,-0.090279
19740930,-0.117511,-0.119578,-0.119335
19741031,0.168113,0.164814,0.163047
19741129,-0.045688,-0.053816,-0.05318
19741231,-0.018021,-0.020305,-0.020151
19750131,0.12361,0.121698,0.122812
19750228,0.06746,0.059497,0.059886
19750331,0.024014,0.022122,0.021694
19750430,0.049424,0.047293,0.047265
19750530,0.051193,0.044794,0.044101
19750630,0.04622,0.044342,0.044323
19750731,-0.065504,-0.067553,-0.067654
19750829,-0.015663,-0.021731,-0.02107
19750930,-0.03225,-0.034226,-0.034645
19751031,0.064855,0.062135,0.061643
19751128,0.030089,0.023996,0.024708
