caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
19630131,0.050346,0.048936,0.049128
19630228,-0.024189,-0.029164,-0.028852
19630329,0.036527,0.035104,0.035464
19630430,0.04907,0.048177,0.04852
19630531,0.019674,0.013844,0.014327
19630628,-0.018577,-0.019782,-0.020198
19630731,-0.001821,-0.003131,-0.00346
19630830,0.053447,0.048482,0.048749
19630930,-0.010376,-0.011554,-0.011034
19631031,0.034799,0.033264,0.032218
19631129,-0.004487,-0.011085,-0.010539
19631231,0.026078,0.02466,0.024444
19640131,0.02754,0.026516,0.026926
19640228,0.016788,0.011941,0.009865
19640331,0.017232,0.015814,0.015167
19640430,0.006205,0.00531,0.006077
19640528,0.016779,0.011424,0.011452
19640630,0.018084,0.016779,0.016424
19640731,0.018915,0.017958,0.01824
19640831,-0.011621,-0.016285,-0.01623
19640930,0.030418,0.029042,0.028718
19641030,0.008852,0.007671,0.008078
19641130,0.001598,-0.004588,-0.005185
19641231,0.005228,0.003803,0.003909
19650129,0.034791,0.033837,0.033156
19650226,0.003757,-0.00084,-0.001485
19650331,-0.012249,-0.013717,-0.014526
19650430,0.035612,0.034769,0.034239
19650528,-0.003122,-0.008354,-0.007743
19650630,-0.046793,-0.048285,-0.048632
19650730,0.014486,0.013678,0.013433
19650831,0.02756,0.022473,0.022522
19650930,0.033353,0.032022,0.032006
19651029,0.028831,0.027754,0.027345
19651130,-0.003829,-0.010317,-0.008764
19651231,0.010333,0.009044,0.008951
19660131,0.005704,0.004874,0.004869
19660228,-0.01275,-0.017548,-0.017873
19660331,-0.023041,-0.024608,-0.021815
19660429,0.022158,0.02125,0.020509
19660531,-0.049315,-0.054818,-0.05414
19660630,-0.014366,-0.015887,-0.016138
19660729,-0.012129,-0.013039,-0.013453
19660831,-0.07165,-0.077487,-0.077751
19660930,-0.006252,-0.0077,-0.007004
19661031,0.048538,0.047449,0.047544
19661130,0.011223,0.003741,0.003117
19661230,0.000053,-0.00138,-0.001492
19670131,0.079215,0.077723,0.078178
19670228,0.007562,0.002462,0.001963
19670331,0.041137,0.039544,0.03941
19670428,0.043438,0.042611,0.042239
19670531,-0.046775,-0.052299,-0.052441
19670630,0.019329,0.01803,0.017512
19670731,0.046497,0.045665,0.045344
19670831,-0.006847,-0.012224,-0.011715
19670929,0.033797,0.032581,0.032785
19671031,-0.027507,-0.028764,-0.029056
19671130,0.006491,0.000582,0.001065
19671229,0.027079,0.025857,0.026277
19680131,-0.041785,-0.043431,-0.043848
19680229,-0.02686,-0.03194,-0.031223
19680329,0.009696,0.008585,0.0094
19680430,0.084221,0.082768,0.081929
19680531,0.016269,0.010993,0.011169
19680628,0.00992,0.008699,0.00912
19680730,-0.017324,-0.018545,-0.018478
19680830,0.016104,0.010964,0.011459
19680930,0.039284,0.038144,0.038539
19681031,0.008587,0.006751,0.007208
19681129,0.053484,0.048555,0.047964
19681231,-0.040866,-0.042182,-0.041617
19690131,-0.00764,-0.008704,-0.008184
19690228,-0.042358,-0.047428,-0.047374
19690328,0.034965,0.033711,0.034444
19690430,0.022771,0.021449,0.021476
19690529,0.004021,-0.001729,-0.002218
19690630,-0.054357,-0.055686,-0.055577
19690731,-0.058656,-0.059941,-0.060178
19690829,0.045733,0.040185,0.040074
19690930,-0.023941,-0.025285,-0.025024
19691031,0.0469,0.044661,0.044244
19691128,-0.029152,-0.034433,-0.035274
19691231,-0.016922,-0.018365,-0.018655
19700130,-0.075398,-0.076809,-0.076472
19700227,0.059521,0.053615,0.052693
19700331,0.002778,0.001207,0.001453
19700430,-0.088675,-0.089883,-0.090483
19700529,-0.054689,-0.061112,-0.060967
19700630,-0.04891,-0.050784,-0.050033
19700731,0.075523,0.073219,0.073295
19700831,0.04971,0.043712,0.044459
19700930,0.034702,0.033021,0.032998
19701030,-0.009029,-0.011637,-0.0114
19701130,0.054777,0.04921,0.047447
19701231,0.058672,0.057346,0.056766
19710129,0.042828,0.0415,0.040477
19710226,0.013317,0.008152,0.009074
19710331,0.03911,0.037666,0.036796
19710430,0.036965,0.035789,0.036288
19710528,-0.03715,-0.042138,-0.041558
19710630,0.002437,0.001062,0.000703
19710730,-0.0408,-0.041875,-0.041324
19710831,0.042025,0.036529,0.036095
19710930,-0.005038,-0.006387,-0.006968
19711029,-0.040129,-0.042015,-0.041794
19711130,0.002898,-0.002029,-0.002547
19711231,0.087876,0.086482,0.086179
19720131,0.019057,0.017782,0.018121
19720229,0.030229,0.025423,0.025303
19720330,0.007315,0.006132,0.005912
19720428,0.005476,0.004658,0.004384
19720531,0.022019,0.016763,0.017275
19720630,-0.020156,-0.021378,-0.021821
19720731,0.003245,0.002126,0.002333
19720831,0.039425,0.034649,0.034454
19720929,-0.003405,-0.00463,-0.004861
19721031,0.010878,0.009503,0.009317
19721130,0.050297,0.045173,0.045617
19721229,0.013663,0.012622,0.011828
19730131,-0.016752,-0.018044,-0.017111
19730228,-0.033818,-0.038229,-0.03749
19730330,-0.001033,-0.002031,-0.001433
19730430,-0.040064,-0.041236,-0.0408
19730531,-0.013822,-0.018918,-0.018884
19730629,-0.005168,-0.006512,-0.006575
19730731,0.039128,0.037679,0.037982
19730831,-0.031469,-0.036428,-0.036685
19730928,0.042219,0.041038,0.040096
19731031,0.000312,-0.00156,-0.001291
19731130,-0.106758,-0.112601,-0.113861
19731231,0.017971,0.016534,0.016569
19740131,-0.00812,-0.009749,-0.010046
19740228,0.001992,-0.003694,-0.003624
19740329,-0.021818,-0.023154,-0.02328
19740430,-0.037394,-0.039108,-0.039051
19740531,-0.026866,-0.033093,-0.033551
19740628,-0.01281,-0.014576,-0.014665
19740731,-0.076698,-0.0785,-0.077791
19740830,-0.082177,-0.089737,-0.090279
19740930,-0.117497,-0.119569,-0.119335
19741031,0.167819,0.164491,0.163047
19741129,-0.045688,-0.053816,-0.05318
19741231,-0.018021,-0.020305,-0.020151
19750131,0.12361,0.121698,0.122812
19750228,0.067155,0.059165,0.059886
19750331,0.024014,0.022122,0.021694
19750430,0.049424,0.047293,0.047265
19750530,0.051193,0.044794,0.044101
19750630,0.046236,0.044357,0.044323
19750731,-0.065504,-0.067553,-0.067654
19750829,-0.015618,-0.021692,-0.02107
19750930,-0.03225,-0.034226,-0.034645
19751031,0.064695,0.06197,0.061643
19751128,0.030089,0.023996,0.024708
19751231,-0.010483,-0.01229,-0.011508
19760130,0.119993,0.118389,0.118306
19760227,-0.005756,-0.01162,-0.011402
19760331,0.032474,0.030623,0.030689
19760430,-0.00961,-0.010699,-0.010995
19760528,-0.00811,-0.015019,-0.014364
19760630,0.043959,0.042158,0.040926
19760730,-0.008079,-0.009412,-0.008055
19760831,0.001599,-0.004982,-0.005124
19760930,0.024402,0.022656,0.022641
19761029,-0.019957,-0.021737,-0.022235
19761130,-0.001041,-0.008628,-0.007775
19761231,0.053754,0.052147,0.052498
19770131,-0.049684,-0.051192,-0.05053
19770228,-0.015638,-0.0224,-0.02166
19770331,-0.01249,-0.014535,-0.014025
19770429,0.000641,-0.000503,0.000203
19770531,-0.015169,-0.023655,-0.023568
19770630,0.047838,0.045771,0.04536
19770729,-0.015453,-0.016589,-0.016222
19770831,-0.01231,-0.020221,-0.021042
19770930,-0.000825,-0.003084,-0.00248
19771031,-0.041984,-0.043869,-0.043406
19771130,0.036696,0.026882,0.026966
19771230,0.00557,0.003637,0.002847
19780131,-0.060643,-0.062611,-0.061514
19780228,-0.01626,-0.024938,-0.024762
19780331,0.026942,0.024377,0.024931
19780428,0.088899,0.087528,0.085416
19780531,0.013777,0.004492,0.004234
19780630,-0.016578,-0.018953,-0.017585
19780731,0.056959,0.055106,0.05391
19780831,0.03361,0.025523,0.025924
19780929,-0.005163,-0.007483,-0.007261
19781031,-0.089848,-0.092572,-0.091574
19781130,0.026624,0.017242,0.01664
19781229,0.01654,0.014189,0.014889
19790131,0.042644,0.040116,0.039746
19790228,-0.028737,-0.037065,-0.036526
19790330,0.057314,0.054801,0.055152
19790430,0.004183,0.002218,0.001673
19790531,-0.01691,-0.026413,-0.026336
19790629,0.040324,0.037792,0.038656
19790731,0.011531,0.009227,0.008746
19790831,0.061865,0.053222,0.053078
19790928,0.001416,-0.000872,0
19791031,-0.065547,-0.068505,-0.068606
19791130,0.052777,0.04357,0.042624
19791231,0.018291,0.015839,0.016767
19800131,0.061073,0.058695,0.057625
19800229,0.002644,-0.005565,-0.00438
19800331,-0.097518,-0.100096,-0.101795
19800430,0.04223,0.039707,0.04114
19800530,0.05556,0.046651,0.046571
19800630,0.029584,0.026764,0.026969
19800731,0.0682,0.06563,0.065039
19800829,0.013368,0.005935,0.005835
19800930,0.027935,0.025155,0.025168
19801031,0.017788,0.014718,0.016021
19801128,0.109774,0.102859,0.102377
19801231,-0.030709,-0.033084,-0.033874
19810130,-0.04337,-0.045036,-0.045742
19810227,0.021199,0.013415,0.013277
19810331,0.038285,0.035426,0.036033
19810430,-0.020226,-0.021983,-0.023456
19810529,0.006337,-0.001356,-0.001657
19810630,-0.007931,-0.010867,-0.010408
19810731,0.000639,-0.001023,-0.00221
19810831,-0.055548,-0.063681,-0.062099
19810930,-0.050737,-0.053777,-0.053832
19811030,0.051457,0.048012,0.049148
19811130,0.043827,0.035918,0.03659
19811231,-0.026959,-0.029646,-0.030075
19820129,-0.015334,-0.016837,-0.017544
19820226,-0.050441,-0.059588,-0.060548
19820331,-0.006922,-0.010579,-0.010167
19820430,0.04145,0.039977,0.040014
19820528,-0.029505,-0.039834,-0.039162
19820630,-0.016438,-0.019603,-0.02029
19820730,-0.020211,-0.02207,-0.022991
19820831,0.127359,0.116582,0.115977
19820930,0.010452,0.007671,0.007614
19821029,0.113727,0.111089,0.110364
19821130,0.045419,0.037213,0.036123
19821231,0.016671,0.014566,0.015158
19830131,0.035297,0.033321,0.033134
19830228,0.025747,0.018552,0.018995
19830331,0.035427,0.032411,0.033095
19830429,0.075719,0.074655,0.074922
19830531,-0.005687,-0.0121,-0.012346
19830630,0.03697,0.033719,0.035224
19830729,-0.031263,-0.032347,-0.033014
19830831,0.01593,0.009546,0.011319
19830930,0.014057,0.010779,0.010158
19831031,-0.013163,-0.014752,-0.015174
19831130,0.023846,0.017363,0.017426
19831230,-0.006271,-0.009334,-0.008834
19840131,-0.003898,-0.005657,-0.009216
19840229,-0.034024,-0.039493,-0.038859
19840330,0.017387,0.013796,0.013498
19840430,0.00688,0.005329,0.005466
19840531,-0.053262,-0.059692,-0.059356
19840629,0.022959,0.018722,0.017469
19840731,-0.013827,-0.015711,-0.016451
19840831,0.112294,0.105602,0.106332
19840928,-0.000053,-0.003281,-0.00348
19841031,0.003369,0.000241,-0.00006
19841130,-0.009888,-0.015005,-0.015112
19841231,0.025471,0.021755,0.022374
19850131,0.076829,0.074694,0.074085
19850228,0.014154,0.008878,0.008685
