PERMNO,date,TICKER,COMNAM,PRC,vwretd
11850,7/31/1963,XOM,EXXON MOBIL CORP,70.125,-0.001718
11850,8/30/1963,XOM,EXXON MOBIL CORP,71.5,0.052684
11850,9/30/1963,XOM,EXXON MOBIL CORP,68.5,-0.011898
11850,10/31/1963,XOM,EXXON MOBIL CORP,71,0.027708
11850,11/29/1963,XOM,EXXON MOBIL CORP,71,-0.005549
11850,12/31/1963,XOM,EXXON MOBIL CORP,76,0.021736
11850,1/31/1964,XOM,EXXON MOBIL CORP,82.25,0.02579
11850,2/28/1964,XOM,EXXON MOBIL CORP,82.125,0.017207
11850,3/31/1964,XOM,EXXON MOBIL CORP,84,0.017636
11850,4/30/1964,XOM,EXXON MOBIL CORP,86,0.004608
11850,5/28/1964,XOM,EXXON MOBIL CORP,87.125,0.017403
11850,6/30/1964,XOM,EXXON MOBIL CORP,87,0.01508
11850,7/31/1964,XOM,EXXON MOBIL CORP,88.5,0.020118
11850,8/31/1964,XOM,EXXON MOBIL CORP,85,-0.011266
11850,9/30/1964,XOM,EXXON MOBIL CORP,86.25,0.03048
11850,10/30/1964,XOM,EXXON MOBIL CORP,89.25,0.008869
11850,11/30/1964,XOM,EXXON MOBIL CORP,89.5,0.003089
11850,12/31/1964,XOM,EXXON MOBIL CORP,90.125,0.00369
11850,1/29/1965,XOM,EXXON MOBIL CORP,87.375,0.038646
11850,2/26/1965,XOM,EXXON MOBIL CORP,81.875,0.006946
11850,3/31/1965,XOM,EXXON MOBIL CORP,78.5,-0.009715
11850,4/30/1965,XOM,EXXON MOBIL CORP,78.875,0.033652
11850,5/28/1965,XOM,EXXON MOBIL CORP,77.875,-0.00435
11850,6/30/1965,XOM,EXXON MOBIL CORP,78.25,-0.051868
11850,7/30/1965,XOM,EXXON MOBIL CORP,76.25,0.016759
11850,8/31/1965,XOM,EXXON MOBIL CORP,73.875,0.030883
11850,9/30/1965,XOM,EXXON MOBIL CORP,78.5,0.031952
11850,10/29/1965,XOM,EXXON MOBIL CORP,80.5,0.029271
11850,11/30/1965,XOM,EXXON MOBIL CORP,79.875,0.003065
11850,12/31/1965,XOM,EXXON MOBIL CORP,80.375,0.013545
11850,1/31/1966,XOM,EXXON MOBIL CORP,80.625,0.012122
11850,2/28/1966,XOM,EXXON MOBIL CORP,76.625,-0.008621
11850,3/31/1966,XOM,EXXON MOBIL CORP,73.75,-0.020923
11850,4/29/1966,XOM,EXXON MOBIL CORP,77.375,0.024837
11850,5/31/1966,XOM,EXXON MOBIL CORP,72.125,-0.052539
11850,6/30/1966,XOM,EXXON MOBIL CORP,68.75,-0.010317
11850,7/29/1966,XOM,EXXON MOBIL CORP,69.25,-0.01287
11850,8/31/1966,XOM,EXXON MOBIL CORP,64,-0.075388
11850,9/30/1966,XOM,EXXON MOBIL CORP,63.375,-0.006958
11850,10/31/1966,XOM,EXXON MOBIL CORP,69.875,0.042294
11850,11/30/1966,XOM,EXXON MOBIL CORP,64.25,0.017516
11850,12/30/1966,XOM,EXXON MOBIL CORP,63.25,0.00621
11850,1/31/1967,XOM,EXXON MOBIL CORP,62.75,0.08553
11850,2/28/1967,XOM,EXXON MOBIL CORP,60.5,0.010945
11850,3/31/1967,XOM,EXXON MOBIL CORP,64,0.043384
11850,4/28/1967,XOM,EXXON MOBIL CORP,63.125,0.041609
11850,5/31/1967,XOM,EXXON MOBIL CORP,61.125,-0.039293
11850,6/30/1967,XOM,EXXON MOBIL CORP,61,0.026903
11850,7/31/1967,XOM,EXXON MOBIL CORP,64.375,0.049189
11850,8/31/1967,XOM,EXXON MOBIL CORP,62.25,-0.006282
11850,9/29/1967,XOM,EXXON MOBIL CORP,67,0.034286
11850,10/31/1967,XOM,EXXON MOBIL CORP,68,-0.027433
11850,11/30/1967,XOM,EXXON MOBIL CORP,66.5,0.007902
11850,12/29/1967,XOM,EXXON MOBIL CORP,67.5,0.033699
11850,1/31/1968,XOM,EXXON MOBIL CORP,69.25,-0.03633
11850,2/29/1968,XOM,EXXON MOBIL CORP,67.75,-0.033624
11850,3/29/1968,XOM,EXXON MOBIL CORP,69.875,0.005116
11850,4/30/1968,XOM,EXXON MOBIL CORP,71.625,0.094148
11850,5/31/1968,XOM,EXXON MOBIL CORP,67.375,0.027041
11850,6/28/1968,XOM,EXXON MOBIL CORP,68,0.011527
11850,7/30/1968,XOM,EXXON MOBIL CORP,78.25,-0.022024
11850,8/30/1968,XOM,EXXON MOBIL CORP,78.875,0.018038
11850,9/30/1968,XOM,EXXON MOBIL CORP,77.75,0.044454
11850,10/31/1968,XOM,EXXON MOBIL CORP,81,0.009041
11850,11/29/1968,XOM,EXXON MOBIL CORP,84.75,0.058502
11850,12/31/1968,XOM,EXXON MOBIL CORP,78.625,-0.033873
11850,1/31/1969,XOM,EXXON MOBIL CORP,79.875,-0.006711
11850,2/28/1969,XOM,EXXON MOBIL CORP,77.875,-0.05364
11850,3/28/1969,XOM,EXXON MOBIL CORP,82.125,0.030506
11850,4/30/1969,XOM,EXXON MOBIL CORP,81,0.020526
11850,5/29/1969,XOM,EXXON MOBIL CORP,83.75,0.00504
11850,6/30/1969,XOM,EXXON MOBIL CORP,77.625,-0.067387
11850,7/31/1969,XOM,EXXON MOBIL CORP,69.75,-0.065172
11850,8/29/1969,XOM,EXXON MOBIL CORP,72.875,0.05149
11850,9/30/1969,XOM,EXXON MOBIL CORP,68.875,-0.02259
11850,10/31/1969,XOM,EXXON MOBIL CORP,66.75,0.055638
11850,11/28/1969,XOM,EXXON MOBIL CORP,62.125,-0.032164
11850,12/31/1969,XOM,EXXON MOBIL CORP,61.75,-0.019681
11850,1/30/1970,XOM,EXXON MOBIL CORP,56.375,-0.073254
11850,2/27/1970,XOM,EXXON MOBIL CORP,54,0.056706
11850,3/31/1970,XOM,EXXON MOBIL CORP,57.25,-0.004729
11850,4/30/1970,XOM,EXXON MOBIL CORP,53.625,-0.105318
11850,5/29/1970,XOM,EXXON MOBIL CORP,56.75,-0.064346
11850,6/30/1970,XOM,EXXON MOBIL CORP,54.75,-0.051067
11850,7/31/1970,XOM,EXXON MOBIL CORP,62,0.074169
11850,8/31/1970,XOM,EXXON MOBIL CORP,65.875,0.050036
11850,9/30/1970,XOM,EXXON MOBIL CORP,67,0.047536
11850,10/30/1970,XOM,EXXON MOBIL CORP,69.5,-0.018208
11850,11/30/1970,XOM,EXXON MOBIL CORP,72.375,0.050448
11850,12/31/1970,XOM,EXXON MOBIL CORP,73.375,0.060723
11850,1/29/1971,XOM,EXXON MOBIL CORP,70.625,0.05203
11850,2/26/1971,XOM,EXXON MOBIL CORP,75.125,0.016913
11850,3/31/1971,XOM,EXXON MOBIL CORP,79.75,0.044778
11850,4/30/1971,XOM,EXXON MOBIL CORP,79.625,0.033332
11850,5/28/1971,XOM,EXXON MOBIL CORP,75.875,-0.036409
11850,6/30/1971,XOM,EXXON MOBIL CORP,75.375,0.003119
11850,7/30/1971,XOM,EXXON MOBIL CORP,76.5,-0.040283
11850,8/31/1971,XOM,EXXON MOBIL CORP,70.875,0.042511
11850,9/30/1971,XOM,EXXON MOBIL CORP,72,-0.005016
11850,10/29/1971,XOM,EXXON MOBIL CORP,70,-0.040682
11850,11/30/1971,XOM,EXXON MOBIL CORP,68.875,-0.001262
11850,12/31/1971,XOM,EXXON MOBIL CORP,73.75,0.091257
11850,1/31/1972,XOM,EXXON MOBIL CORP,75.25,0.028383
11850,2/29/1972,XOM,EXXON MOBIL CORP,75.5,0.031349
11850,3/30/1972,XOM,EXXON MOBIL CORP,70.25,0.008722
11850,4/28/1972,XOM,EXXON MOBIL CORP,69.75,0.005505
11850,5/31/1972,XOM,EXXON MOBIL CORP,75.125,0.016375
11850,6/30/1972,XOM,EXXON MOBIL CORP,74.125,-0.020896
11850,7/31/1972,XOM,EXXON MOBIL CORP,75.875,-0.004254
11850,8/31/1972,XOM,EXXON MOBIL CORP,81.125,0.035966
11850,9/29/1972,XOM,EXXON MOBIL CORP,81.125,-0.007671
11850,10/31/1972,XOM,EXXON MOBIL CORP,83.5,0.008676
11850,11/30/1972,XOM,EXXON MOBIL CORP,87.25,0.049764
11850,12/29/1972,XOM,EXXON MOBIL CORP,87.5,0.011243
11850,1/31/1973,XOM,EXXON MOBIL CORP,94.75,-0.027452
11850,2/28/1973,XOM,EXXON MOBIL CORP,89.375,-0.04437
11850,3/30/1973,XOM,EXXON MOBIL CORP,94.375,-0.007859
11850,4/30/1973,XOM,EXXON MOBIL CORP,96.25,-0.051766
11850,5/31/1973,XOM,EXXON MOBIL CORP,93.875,-0.024511
11850,6/29/1973,XOM,EXXON MOBIL CORP,98.5,-0.008646
11850,7/31/1973,XOM,EXXON MOBIL CORP,95.75,0.056956
11850,8/31/1973,XOM,EXXON MOBIL CORP,88.875,-0.029657
11850,9/28/1973,XOM,EXXON MOBIL CORP,92.875,0.053935
11850,10/31/1973,XOM,EXXON MOBIL CORP,94.5,-0.000414
11850,11/30/1973,XOM,EXXON MOBIL CORP,89.75,-0.120708
11850,12/31/1973,XOM,EXXON MOBIL CORP,94.125,0.011438
11850,1/31/1974,XOM,EXXON MOBIL CORP,86.5,0.004413
11850,2/28/1974,XOM,EXXON MOBIL CORP,83.625,0.002346
11850,3/29/1974,XOM,EXXON MOBIL CORP,81.375,-0.023364
11850,4/30/1974,XOM,EXXON MOBIL CORP,77.25,-0.04596
11850,5/31/1974,XOM,EXXON MOBIL CORP,72.5,-0.041981
11850,6/28/1974,XOM,EXXON MOBIL CORP,70.125,-0.022942
11850,7/31/1974,XOM,EXXON MOBIL CORP,74.875,-0.070874
11850,8/30/1974,XOM,EXXON MOBIL CORP,67.25,-0.087757
11850,9/30/1974,XOM,EXXON MOBIL CORP,58.75,-0.109718
11850,10/31/1974,XOM,EXXON MOBIL CORP,68.5,0.165584
11850,11/29/1974,XOM,EXXON MOBIL CORP,62.75,-0.041046
11850,12/31/1974,XOM,EXXON MOBIL CORP,64.625,-0.027005
11850,1/31/1975,XOM,EXXON MOBIL CORP,73.125,0.1416
11850,2/28/1975,XOM,EXXON MOBIL CORP,77.375,0.058412
11850,3/31/1975,XOM,EXXON MOBIL CORP,74,0.03019
11850,4/30/1975,XOM,EXXON MOBIL CORP,81,0.046497
11850,5/30/1975,XOM,EXXON MOBIL CORP,87.625,0.05514
11850,6/30/1975,XOM,EXXON MOBIL CORP,92.5,0.051473
11850,7/31/1975,XOM,EXXON MOBIL CORP,87,-0.060385
11850,8/29/1975,XOM,EXXON MOBIL CORP,86.75,-0.023557
11850,9/30/1975,XOM,EXXON MOBIL CORP,87.5,-0.03801
11850,10/31/1975,XOM,EXXON MOBIL CORP,89.125,0.055857
11850,11/28/1975,XOM,EXXON MOBIL CORP,86,0.031223
11850,12/31/1975,XOM,EXXON MOBIL CORP,88.75,-0.010998
11850,1/30/1976,XOM,EXXON MOBIL CORP,91,0.126012
11850,2/27/1976,XOM,EXXON MOBIL CORP,87.125,0.00731
11850,3/31/1976,XOM,EXXON MOBIL CORP,93.875,0.02674
11850,4/30/1976,XOM,EXXON MOBIL CORP,94.25,-0.010402
11850,5/28/1976,XOM,EXXON MOBIL CORP,100.875,-0.009326
11850,6/30/1976,XOM,EXXON MOBIL CORP,104.625,0.044522
11850,7/30/1976,XOM,EXXON MOBIL CORP,53.125,-0.006135
11850,8/31/1976,XOM,EXXON MOBIL CORP,52.875,-0.001398
11850,9/30/1976,XOM,EXXON MOBIL CORP,55.5,0.024512
11850,10/29/1976,XOM,EXXON MOBIL CORP,52.5,-0.020373
11850,11/30/1976,XOM,EXXON MOBIL CORP,51.125,0.005361
11850,12/31/1976,XOM,EXXON MOBIL CORP,53.625,0.061593
11850,1/31/1977,XOM,EXXON MOBIL CORP,53.5,-0.036328
11850,2/28/1977,XOM,EXXON MOBIL CORP,50.875,-0.015744
11850,3/31/1977,XOM,EXXON MOBIL CORP,50.75,-0.009249
11850,4/29/1977,XOM,EXXON MOBIL CORP,51.625,0.004962
11850,5/31/1977,XOM,EXXON MOBIL CORP,51.125,-0.010777
11850,6/30/1977,XOM,EXXON MOBIL CORP,53.5,0.051369
11850,7/29/1977,XOM,EXXON MOBIL CORP,51.625,-0.012806
11850,8/31/1977,XOM,EXXON MOBIL CORP,48.5,-0.013338
11850,9/30/1977,XOM,EXXON MOBIL CORP,48.25,0.001572
